video_name,left_pupil,right_pupil,gaze_direction
1p Start Höger Begränsat Teo.mp4,"(794, 463)","(1078, 459)",left
1p Start Höger Begränsat Teo.mp4,"(794, 463)","(1080, 462)",left
1p Start Höger Begränsat Teo.mp4,"(794, 463)","(1080, 462)",left
1p Start Höger Begränsat Teo.mp4,"(794, 462)","(1079, 461)",left
1p Start Höger Begränsat Teo.mp4,"(794, 463)","(1079, 462)",left
1p Start Höger Begränsat Teo.mp4,"(793, 464)","(1079, 462)",left
1p Start Höger Begränsat Teo.mp4,"(794, 463)","(1079, 462)",left
1p Start Höger Begränsat Teo.mp4,"(794, 463)","(1079, 463)",left
1p Start Höger Begränsat Teo.mp4,"(793, 463)","(1079, 463)",left
1p Start Höger Begränsat Teo.mp4,"(793, 462)","(1078, 463)",left
1p Start Höger Begränsat Teo.mp4,"(792, 463)","(1078, 462)",left
1p Start Höger Begränsat Teo.mp4,"(792, 462)","(1080, 464)",left
1p Start Höger Begränsat Teo.mp4,"(791, 463)","(1077, 462)",left
1p Start Höger Begränsat Teo.mp4,"(791, 463)","(1076, 462)",left
1p Start Höger Begränsat Teo.mp4,"(790, 462)","(1076, 462)",left
1p Start Höger Begränsat Teo.mp4,"(790, 463)","(1075, 461)",left
1p Start Höger Begränsat Teo.mp4,"(789, 462)","(1074, 461)",left
1p Start Höger Begränsat Teo.mp4,"(789, 463)","(1074, 462)",left
1p Start Höger Begränsat Teo.mp4,"(789, 462)","(1073, 463)",left
1p Start Höger Begränsat Teo.mp4,"(788, 463)","(1073, 462)",left
1p Start Höger Begränsat Teo.mp4,"(787, 462)","(1072, 462)",left
1p Start Höger Begränsat Teo.mp4,"(787, 463)","(1071, 462)",left
1p Start Höger Begränsat Teo.mp4,"(787, 462)","(1070, 461)",left
1p Start Höger Begränsat Teo.mp4,"(786, 463)","(1069, 462)",left
1p Start Höger Begränsat Teo.mp4,"(785, 462)","(1068, 461)",left
1p Start Höger Begränsat Teo.mp4,"(787, 464)","(1067, 461)",center
1p Start Höger Begränsat Teo.mp4,"(785, 463)","(1067, 461)",center
1p Start Höger Begränsat Teo.mp4,"(784, 464)","(1066, 462)",center
1p Start Höger Begränsat Teo.mp4,"(783, 463)","(1065, 462)",center
1p Start Höger Begränsat Teo.mp4,"(783, 462)","(1063, 462)",center
1p Start Höger Begränsat Teo.mp4,"(784, 466)","(1062, 464)",center
1p Start Höger Begränsat Teo.mp4,"(783, 464)","(1061, 461)",center
1p Start Höger Begränsat Teo.mp4,"(783, 466)","(1061, 462)",center
1p Start Höger Begränsat Teo.mp4,"(782, 466)","(1061, 462)",center
1p Start Höger Begränsat Teo.mp4,"(781, 467)","(1059, 462)",center
1p Start Höger Begränsat Teo.mp4,"(781, 466)","(1059, 463)",center
1p Start Höger Begränsat Teo.mp4,"(780, 466)","(1057, 464)",center
1p Start Höger Begränsat Teo.mp4,"(779, 465)","(1057, 461)",center
1p Start Höger Begränsat Teo.mp4,"(776, 463)","(1056, 462)",center
1p Start Höger Begränsat Teo.mp4,"(777, 464)","(1055, 462)",center
1p Start Höger Begränsat Teo.mp4,"(776, 464)","(1053, 463)",center
1p Start Höger Begränsat Teo.mp4,"(776, 466)","(1053, 463)",center
1p Start Höger Begränsat Teo.mp4,"(776, 466)","(1055, 460)",center
1p Start Höger Begränsat Teo.mp4,"(775, 466)","(1051, 463)",center
1p Start Höger Begränsat Teo.mp4,"(775, 467)","(1050, 463)",center
1p Start Höger Begränsat Teo.mp4,"(774, 465)","(1049, 463)",center
1p Start Höger Begränsat Teo.mp4,"(773, 465)","(1049, 462)",center
1p Start Höger Begränsat Teo.mp4,"(772, 464)","(1048, 463)",center
1p Start Höger Begränsat Teo.mp4,"(772, 463)","(1047, 464)",center
1p Start Höger Begränsat Teo.mp4,"(771, 463)","(1047, 463)",center
1p Start Höger Begränsat Teo.mp4,"(772, 468)","(1047, 464)",center
1p Start Höger Begränsat Teo.mp4,"(772, 468)","(1046, 463)",center
1p Start Höger Begränsat Teo.mp4,"(772, 466)","(1046, 463)",center
1p Start Höger Begränsat Teo.mp4,"(771, 467)","(1045, 464)",center
1p Start Höger Begränsat Teo.mp4,"(771, 466)","(1045, 463)",center
1p Start Höger Begränsat Teo.mp4,"(771, 468)","(1045, 463)",center
1p Start Höger Begränsat Teo.mp4,"(771, 468)","(1045, 463)",center
1p Start Höger Begränsat Teo.mp4,"(771, 468)","(1047, 462)",center
1p Start Höger Begränsat Teo.mp4,"(771, 468)","(1047, 462)",center
1p Start Höger Begränsat Teo.mp4,"(771, 468)","(1047, 462)",center
1p Start Höger Begränsat Teo.mp4,"(771, 467)","(1045, 465)",center
1p Start Höger Begränsat Teo.mp4,"(772, 468)","(1046, 464)",center
1p Start Höger Begränsat Teo.mp4,"(771, 462)","(1048, 463)",center
1p Start Höger Begränsat Teo.mp4,"(775, 467)","(1051, 464)",center
1p Start Höger Begränsat Teo.mp4,"(778, 467)","(1055, 462)",center
1p Start Höger Begränsat Teo.mp4,"(780, 466)","(1059, 461)",center
1p Start Höger Begränsat Teo.mp4,"(783, 465)","(1061, 462)",center
1p Start Höger Begränsat Teo.mp4,"(785, 464)","(1066, 462)",center
1p Start Höger Begränsat Teo.mp4,"(787, 463)","(1069, 463)",left
1p Start Höger Begränsat Teo.mp4,"(788, 463)","(1072, 462)",left
1p Start Höger Begränsat Teo.mp4,"(790, 462)","(1075, 462)",left
1p Start Höger Begränsat Teo.mp4,"(792, 463)","(1077, 462)",left
1p Start Höger Begränsat Teo.mp4,"(793, 463)","(1078, 462)",left
1p Start Höger Begränsat Teo.mp4,"(794, 462)","(1078, 460)",left
1p Start Höger Begränsat Teo.mp4,"(795, 462)","(1080, 462)",left
