video_name,left_pupil,right_pupil,gaze_direction
1p Start Vänster Kan Röra Teo.mp4,"(795, 463)","(1080, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(794, 463)","(1079, 461)",left
1p Start Vänster Kan Röra Teo.mp4,"(794, 463)","(1080, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(794, 463)","(1080, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(794, 463)","(1079, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(794, 462)","(1079, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(794, 463)","(1078, 461)",left
1p Start Vänster Kan Röra Teo.mp4,"(793, 462)","(1078, 460)",left
1p Start Vänster Kan Röra Teo.mp4,"(793, 463)","(1078, 461)",left
1p Start Vänster Kan Röra Teo.mp4,"(793, 462)","(1077, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(792, 462)","(1077, 461)",left
1p Start Vänster Kan Röra Teo.mp4,"(791, 463)","(1077, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(791, 462)","(1076, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(791, 462)","(1075, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(790, 461)","(1075, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(789, 463)","(1074, 461)",left
1p Start Vänster Kan Röra Teo.mp4,"(789, 462)","(1073, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(788, 462)","(1072, 461)",left
1p Start Vänster Kan Röra Teo.mp4,"(787, 462)","(1072, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(787, 462)","(1070, 461)",left
1p Start Vänster Kan Röra Teo.mp4,"(786, 462)","(1070, 462)",left
1p Start Vänster Kan Röra Teo.mp4,"(785, 462)","(1068, 461)",left
1p Start Vänster Kan Röra Teo.mp4,"(785, 463)","(1067, 462)",center
1p Start Vänster Kan Röra Teo.mp4,"(784, 463)","(1066, 461)",center
1p Start Vänster Kan Röra Teo.mp4,"(785, 464)","(1065, 461)",center
1p Start Vänster Kan Röra Teo.mp4,"(785, 465)","(1063, 462)",center
1p Start Vänster Kan Röra Teo.mp4,"(781, 463)","(1062, 461)",center
1p Start Vänster Kan Röra Teo.mp4,"(781, 463)","(1061, 462)",center
1p Start Vänster Kan Röra Teo.mp4,"(780, 462)","(1061, 460)",center
1p Start Vänster Kan Röra Teo.mp4,"(779, 463)","(1060, 461)",center
1p Start Vänster Kan Röra Teo.mp4,"(778, 464)","(1058, 462)",center
1p Start Vänster Kan Röra Teo.mp4,"(777, 463)","(1057, 462)",center
1p Start Vänster Kan Röra Teo.mp4,"(775, 463)","(1055, 462)",center
1p Start Vänster Kan Röra Teo.mp4,"(776, 466)","(1053, 462)",center
1p Start Vänster Kan Röra Teo.mp4,"(776, 466)","(1052, 462)",center
1p Start Vänster Kan Röra Teo.mp4,"(775, 468)","(1049, 464)",center
1p Start Vänster Kan Röra Teo.mp4,"(774, 467)","(1048, 463)",center
1p Start Vänster Kan Röra Teo.mp4,"(772, 465)","(1047, 463)",center
1p Start Vänster Kan Röra Teo.mp4,"(771, 465)","(1046, 463)",center
1p Start Vänster Kan Röra Teo.mp4,"(770, 464)","(1047, 461)",center
1p Start Vänster Kan Röra Teo.mp4,"(769, 466)","(1044, 464)",center
1p Start Vänster Kan Röra Teo.mp4,"(768, 466)","(1043, 464)",center
1p Start Vänster Kan Röra Teo.mp4,"(767, 468)","(1042, 465)",right
1p Start Vänster Kan Röra Teo.mp4,"(763, 465)","(1040, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(761, 465)","(1039, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(756, 468)","(1039, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(755, 467)","(1037, 463)",right
