video_name,left_pupil,right_pupil,gaze_direction
1p_startVBegransat_S.mp4,"(797, 462)","(1085, 463)",left
1p_startVBegransat_S.mp4,"(797, 463)","(1083, 461)",left
1p_startVBegransat_S.mp4,"(797, 463)","(1082, 461)",left
1p_startVBegransat_S.mp4,"(796, 463)","(1082, 461)",left
1p_startVBegransat_S.mp4,"(796, 462)","(1082, 462)",left
1p_startVBegransat_S.mp4,"(796, 462)","(1080, 460)",left
1p_startVBegransat_S.mp4,"(796, 463)","(1081, 462)",left
1p_startVBegransat_S.mp4,"(795, 462)","(1080, 460)",left
1p_startVBegransat_S.mp4,"(795, 462)","(1081, 462)",left
1p_startVBegransat_S.mp4,"(795, 463)","(1080, 462)",left
1p_startVBegransat_S.mp4,"(794, 463)","(1080, 462)",left
1p_startVBegransat_S.mp4,"(794, 463)","(1078, 460)",left
1p_startVBegransat_S.mp4,"(794, 462)","(1078, 462)",left
1p_startVBegransat_S.mp4,"(793, 463)","(1077, 462)",left
1p_startVBegransat_S.mp4,"(792, 461)","(1076, 462)",left
1p_startVBegransat_S.mp4,"(792, 463)","(1076, 463)",left
1p_startVBegransat_S.mp4,"(791, 462)","(1075, 462)",left
1p_startVBegransat_S.mp4,"(790, 463)","(1074, 462)",left
1p_startVBegransat_S.mp4,"(790, 462)","(1073, 461)",center
1p_startVBegransat_S.mp4,"(789, 463)","(1072, 461)",left
1p_startVBegransat_S.mp4,"(788, 462)","(1071, 461)",left
1p_startVBegransat_S.mp4,"(788, 463)","(1070, 462)",center
1p_startVBegransat_S.mp4,"(787, 463)","(1069, 461)",center
1p_startVBegransat_S.mp4,"(786, 464)","(1067, 461)",center
1p_startVBegransat_S.mp4,"(785, 463)","(1066, 461)",center
1p_startVBegransat_S.mp4,"(784, 462)","(1065, 462)",center
1p_startVBegransat_S.mp4,"(783, 462)","(1064, 461)",center
1p_startVBegransat_S.mp4,"(783, 463)","(1063, 460)",center
1p_startVBegransat_S.mp4,"(782, 462)","(1062, 461)",center
1p_startVBegransat_S.mp4,"(783, 466)","(1061, 462)",center
1p_startVBegransat_S.mp4,"(783, 467)","(1061, 464)",center
1p_startVBegransat_S.mp4,"(781, 464)","(1060, 461)",center
1p_startVBegransat_S.mp4,"(781, 466)","(1061, 460)",center
1p_startVBegransat_S.mp4,"(780, 466)","(1057, 464)",center
1p_startVBegransat_S.mp4,"(779, 466)","(1056, 463)",center
1p_startVBegransat_S.mp4,"(779, 467)","(1053, 465)",center
1p_startVBegransat_S.mp4,"(778, 464)","(1053, 464)",center
1p_startVBegransat_S.mp4,"(778, 467)","(1052, 463)",center
1p_startVBegransat_S.mp4,"(777, 466)","(1054, 462)",center
1p_startVBegransat_S.mp4,"(776, 465)","(1051, 463)",center
1p_startVBegransat_S.mp4,"(776, 468)","(1050, 464)",center
1p_startVBegransat_S.mp4,"(775, 467)","(1050, 464)",center
1p_startVBegransat_S.mp4,"(775, 468)","(1049, 463)",center
1p_startVBegransat_S.mp4,"(774, 466)","(1049, 464)",center
1p_startVBegransat_S.mp4,"(774, 467)","(1048, 465)",center
1p_startVBegransat_S.mp4,"(774, 465)","(1048, 463)",center
1p_startVBegransat_S.mp4,"(774, 466)","(1048, 464)",center
1p_startVBegransat_S.mp4,"(773, 464)","(1050, 462)",center
1p_startVBegransat_S.mp4,"(773, 466)","(1048, 463)",center
1p_startVBegransat_S.mp4,"(773, 465)","(1048, 463)",center
1p_startVBegransat_S.mp4,"(773, 465)","(1048, 463)",center
1p_startVBegransat_S.mp4,"(773, 465)","(1048, 463)",center
