video_name,left_pupil,right_pupil,gaze_direction
CN6LeftCam2.mp4,"(797, 463)","(1048, 464)",center
CN6LeftCam2.mp4,"(797, 462)","(1047, 464)",center
CN6LeftCam2.mp4,"(796, 463)","(1047, 463)",center
CN6LeftCam2.mp4,"(796, 463)","(1049, 462)",center
CN6LeftCam2.mp4,"(795, 463)","(1046, 463)",center
CN6LeftCam2.mp4,"(793, 462)","(1048, 462)",center
CN6LeftCam2.mp4,"(793, 462)","(1044, 464)",center
CN6LeftCam2.mp4,"(791, 462)","(1043, 464)",center
CN6LeftCam2.mp4,"(789, 463)","(1042, 463)",center
CN6LeftCam2.mp4,"(787, 463)","(1040, 464)",center
CN6LeftCam2.mp4,"(786, 462)","(1039, 464)",center
CN6LeftCam2.mp4,"(783, 463)","(1037, 464)",center
CN6LeftCam2.mp4,"(781, 462)","(1035, 466)",center
CN6LeftCam2.mp4,"(778, 463)","(1034, 464)",center
CN6LeftCam2.mp4,"(776, 463)","(1032, 464)",center
CN6LeftCam2.mp4,"(773, 461)","(1030, 463)",center
CN6LeftCam2.mp4,"(770, 461)","(1027, 464)",center
CN6LeftCam2.mp4,"(768, 463)","(1025, 463)",center
CN6LeftCam2.mp4,"(765, 463)","(1023, 464)",center
CN6LeftCam2.mp4,"(761, 463)","(1023, 461)",center
CN6LeftCam2.mp4,"(758, 463)","(1018, 463)",center
CN6LeftCam2.mp4,"(756, 464)","(1015, 464)",center
CN6LeftCam2.mp4,"(753, 465)","(1012, 464)",center
CN6LeftCam2.mp4,"(749, 465)","(1012, 462)",center
CN6LeftCam2.mp4,"(747, 467)","(1007, 462)",center
CN6LeftCam2.mp4,"(742, 466)","(1006, 462)",center
CN6LeftCam2.mp4,"(738, 465)","(1001, 463)",center
CN6LeftCam2.mp4,"(735, 467)","(998, 465)",center
CN6LeftCam2.mp4,"(729, 464)","(998, 461)",center
CN6LeftCam2.mp4,"(727, 466)","(992, 464)",center
CN6LeftCam2.mp4,"(723, 465)","(989, 463)",center
CN6LeftCam2.mp4,"(720, 466)","(985, 464)",center
CN6LeftCam2.mp4,"(716, 468)","(982, 466)",center
CN6LeftCam2.mp4,"(712, 467)","(979, 464)",center
CN6LeftCam2.mp4,"(707, 465)","(976, 463)",center
CN6LeftCam2.mp4,"(704, 466)","(972, 464)",center
CN6LeftCam2.mp4,"(699, 465)","(969, 464)",center
CN6LeftCam2.mp4,"(693, 464)","(966, 464)",center
CN6LeftCam2.mp4,"(690, 466)","(962, 464)",right
CN6LeftCam2.mp4,"(683, 469)","(958, 464)",right
CN6LeftCam2.mp4,"(679, 468)","(955, 465)",right
CN6LeftCam2.mp4,"(676, 469)","(951, 464)",right
CN6LeftCam2.mp4,"(673, 470)","(947, 465)",right
CN6LeftCam2.mp4,"(673, 463)","(947, 463)",center
CN6LeftCam2.mp4,"(670, 464)","(943, 463)",center
CN6LeftCam2.mp4,"(665, 470)","(936, 465)",right
CN6LeftCam2.mp4,"(661, 471)","(933, 466)",right
CN6LeftCam2.mp4,"(657, 469)","(929, 465)",right
CN6LeftCam2.mp4,"(656, 470)","(926, 465)",right
CN6LeftCam2.mp4,"(655, 472)","(923, 466)",right
CN6LeftCam2.mp4,"(653, 473)","(919, 466)",right
CN6LeftCam2.mp4,"(651, 472)","(916, 466)",right
CN6LeftCam2.mp4,"(649, 471)","(913, 466)",right
CN6LeftCam2.mp4,"(649, 473)","(910, 466)",right
CN6LeftCam2.mp4,"(647, 472)","(908, 466)",right
CN6LeftCam2.mp4,"(646, 473)","(905, 466)",right
CN6LeftCam2.mp4,"(646, 473)","(903, 465)",right
CN6LeftCam2.mp4,"(645, 474)","(901, 466)",right
CN6LeftCam2.mp4,"(645, 472)","(901, 463)",right
CN6LeftCam2.mp4,"(644, 473)","(897, 467)",right
CN6LeftCam2.mp4,"(644, 475)","(895, 466)",right
CN6LeftCam2.mp4,"(646, 478)","(893, 467)",right
CN6LeftCam2.mp4,"(644, 476)","(891, 466)",right
CN6LeftCam2.mp4,"(644, 476)","(890, 466)",right
CN6LeftCam2.mp4,"(644, 474)","(889, 467)",right
CN6LeftCam2.mp4,"(645, 476)","(888, 466)",right
CN6LeftCam2.mp4,"(644, 476)","(887, 467)",right
CN6LeftCam2.mp4,"(646, 476)","(887, 467)",right
CN6LeftCam2.mp4,"(646, 474)","(887, 468)",right
CN6LeftCam2.mp4,"(648, 477)","(887, 467)",right
CN6LeftCam2.mp4,"(647, 475)","(886, 467)",right
CN6LeftCam2.mp4,"(649, 475)","(886, 468)",right
CN6LeftCam2.mp4,"(649, 476)","(886, 468)",right
CN6LeftCam2.mp4,"(651, 474)","(886, 467)",right
CN6LeftCam2.mp4,"(652, 476)","(886, 468)",right
CN6LeftCam2.mp4,"(655, 477)","(887, 468)",right
CN6LeftCam2.mp4,"(655, 475)","(887, 469)",right
CN6LeftCam2.mp4,"(656, 475)","(888, 469)",right
CN6LeftCam2.mp4,"(657, 477)","(888, 469)",right
CN6LeftCam2.mp4,"(656, 474)","(889, 469)",right
CN6LeftCam2.mp4,"(658, 475)","(889, 469)",right
CN6LeftCam2.mp4,"(659, 477)","(890, 470)",right
CN6LeftCam2.mp4,"(660, 478)","(891, 470)",right
CN6LeftCam2.mp4,"(660, 477)","(891, 470)",right
CN6LeftCam2.mp4,"(662, 477)","(892, 470)",right
CN6LeftCam2.mp4,"(663, 478)","(893, 471)",right
CN6LeftCam2.mp4,"(663, 476)","(894, 470)",right
CN6LeftCam2.mp4,"(665, 478)","(894, 471)",right
CN6LeftCam2.mp4,"(666, 478)","(895, 471)",right
CN6LeftCam2.mp4,"(666, 477)","(896, 471)",right
CN6LeftCam2.mp4,"(667, 479)","(897, 471)",right
CN6LeftCam2.mp4,"(668, 478)","(898, 471)",right
CN6LeftCam2.mp4,"(668, 477)","(898, 471)",right
CN6LeftCam2.mp4,"(669, 477)","(899, 472)",right
CN6LeftCam2.mp4,"(670, 476)","(900, 471)",right
CN6LeftCam2.mp4,"(671, 475)","(901, 470)",right
CN6LeftCam2.mp4,"(672, 477)","(901, 470)",right
CN6LeftCam2.mp4,"(672, 476)","(902, 471)",right
CN6LeftCam2.mp4,"(674, 478)","(902, 471)",right
CN6LeftCam2.mp4,"(674, 476)","(903, 470)",right
CN6LeftCam2.mp4,"(679, 473)","(904, 471)",right
CN6LeftCam2.mp4,"(680, 471)","(904, 470)",right
CN6LeftCam2.mp4,"(683, 473)","(904, 470)",right
CN6LeftCam2.mp4,"(685, 475)","(905, 471)",right
CN6LeftCam2.mp4,"(686, 473)","(905, 471)",right
CN6LeftCam2.mp4,"(686, 472)","(905, 471)",center
CN6LeftCam2.mp4,"(688, 473)","(905, 470)",center
CN6LeftCam2.mp4,"(688, 472)","(905, 471)",center
CN6LeftCam2.mp4,"(690, 474)","(905, 471)",center
CN6LeftCam2.mp4,"(690, 473)","(905, 471)",center
CN6LeftCam2.mp4,"(692, 474)","(905, 470)",center
CN6LeftCam2.mp4,"(692, 473)","(905, 471)",center
CN6LeftCam2.mp4,"(692, 473)","(905, 471)",center
CN6LeftCam2.mp4,"(693, 474)","(905, 471)",center
CN6LeftCam2.mp4,"(694, 474)","(905, 471)",center
CN6LeftCam2.mp4,"(694, 473)","(905, 471)",center
CN6LeftCam2.mp4,"(695, 474)","(905, 472)",center
CN6LeftCam2.mp4,"(696, 474)","(904, 472)",center
CN6LeftCam2.mp4,"(697, 474)","(905, 472)",center
CN6LeftCam2.mp4,"(697, 474)","(905, 472)",center
CN6LeftCam2.mp4,"(698, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(698, 473)","(905, 471)",center
CN6LeftCam2.mp4,"(699, 474)","(905, 473)",center
CN6LeftCam2.mp4,"(699, 474)","(905, 472)",center
CN6LeftCam2.mp4,"(700, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(701, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(701, 473)","(905, 471)",center
CN6LeftCam2.mp4,"(702, 474)","(905, 472)",center
CN6LeftCam2.mp4,"(702, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(703, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(703, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(703, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(703, 472)","(905, 471)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 472)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 473)","(905, 473)",center
CN6LeftCam2.mp4,"(704, 474)","(905, 472)",center
CN6LeftCam2.mp4,"(704, 474)","(905, 472)",center
