video_name,left_pupil,right_pupil,gaze_direction
V4thNerve_StartV.mp4,"(793, 462)","(1083, 461)",left
V4thNerve_StartV.mp4,"(793, 463)","(1083, 462)",left
V4thNerve_StartV.mp4,"(793, 462)","(1083, 462)",left
V4thNerve_StartV.mp4,"(793, 462)","(1083, 462)",left
V4thNerve_StartV.mp4,"(792, 462)","(1082, 462)",left
V4thNerve_StartV.mp4,"(792, 462)","(1082, 461)",left
V4thNerve_StartV.mp4,"(792, 462)","(1082, 461)",left
V4thNerve_StartV.mp4,"(792, 463)","(1082, 461)",left
V4thNerve_StartV.mp4,"(792, 462)","(1081, 460)",left
V4thNerve_StartV.mp4,"(792, 463)","(1080, 460)",left
V4thNerve_StartV.mp4,"(792, 463)","(1081, 460)",left
V4thNerve_StartV.mp4,"(791, 462)","(1080, 459)",left
V4thNerve_StartV.mp4,"(791, 462)","(1080, 459)",left
V4thNerve_StartV.mp4,"(791, 462)","(1079, 459)",left
V4thNerve_StartV.mp4,"(791, 462)","(1078, 458)",left
V4thNerve_StartV.mp4,"(790, 463)","(1077, 458)",left
V4thNerve_StartV.mp4,"(790, 463)","(1076, 457)",left
V4thNerve_StartV.mp4,"(790, 463)","(1076, 457)",left
V4thNerve_StartV.mp4,"(789, 462)","(1075, 457)",left
V4thNerve_StartV.mp4,"(789, 463)","(1074, 456)",left
V4thNerve_StartV.mp4,"(788, 462)","(1073, 455)",left
V4thNerve_StartV.mp4,"(788, 463)","(1072, 456)",center
V4thNerve_StartV.mp4,"(787, 463)","(1071, 456)",center
V4thNerve_StartV.mp4,"(789, 464)","(1070, 456)",center
V4thNerve_StartV.mp4,"(786, 463)","(1069, 455)",center
V4thNerve_StartV.mp4,"(786, 463)","(1068, 455)",center
V4thNerve_StartV.mp4,"(786, 463)","(1068, 456)",center
V4thNerve_StartV.mp4,"(787, 465)","(1067, 454)",center
V4thNerve_StartV.mp4,"(785, 463)","(1068, 453)",center
V4thNerve_StartV.mp4,"(784, 463)","(1065, 455)",center
V4thNerve_StartV.mp4,"(784, 464)","(1064, 455)",center
V4thNerve_StartV.mp4,"(785, 467)","(1063, 455)",center
V4thNerve_StartV.mp4,"(785, 466)","(1062, 454)",center
V4thNerve_StartV.mp4,"(784, 466)","(1061, 454)",center
V4thNerve_StartV.mp4,"(783, 466)","(1061, 454)",center
V4thNerve_StartV.mp4,"(782, 465)","(1061, 453)",center
V4thNerve_StartV.mp4,"(781, 464)","(1060, 454)",center
V4thNerve_StartV.mp4,"(779, 463)","(1059, 453)",center
V4thNerve_StartV.mp4,"(781, 465)","(1058, 453)",center
V4thNerve_StartV.mp4,"(778, 464)","(1058, 454)",center
V4thNerve_StartV.mp4,"(779, 466)","(1056, 454)",center
V4thNerve_StartV.mp4,"(779, 467)","(1056, 454)",center
V4thNerve_StartV.mp4,"(778, 468)","(1055, 454)",center
V4thNerve_StartV.mp4,"(778, 468)","(1054, 455)",center
V4thNerve_StartV.mp4,"(777, 467)","(1053, 454)",center
V4thNerve_StartV.mp4,"(776, 466)","(1053, 454)",center
V4thNerve_StartV.mp4,"(775, 468)","(1051, 455)",center
V4thNerve_StartV.mp4,"(775, 468)","(1051, 455)",center
V4thNerve_StartV.mp4,"(774, 467)","(1050, 454)",center
V4thNerve_StartV.mp4,"(773, 466)","(1049, 454)",center
V4thNerve_StartV.mp4,"(773, 467)","(1048, 455)",center
V4thNerve_StartV.mp4,"(772, 465)","(1047, 454)",center
V4thNerve_StartV.mp4,"(771, 466)","(1047, 455)",center
V4thNerve_StartV.mp4,"(770, 467)","(1046, 455)",center
V4thNerve_StartV.mp4,"(767, 467)","(1043, 457)",center
V4thNerve_StartV.mp4,"(766, 466)","(1045, 455)",center
V4thNerve_StartV.mp4,"(766, 465)","(1044, 457)",right
V4thNerve_StartV.mp4,"(760, 468)","(1042, 459)",right
V4thNerve_StartV.mp4,"(760, 468)","(1042, 458)",right
V4thNerve_StartV.mp4,"(759, 468)","(1042, 458)",right
V4thNerve_StartV.mp4,"(758, 468)","(1041, 459)",right
V4thNerve_StartV.mp4,"(757, 468)","(1040, 460)",right
V4thNerve_StartV.mp4,"(756, 468)","(1040, 460)",right
V4thNerve_StartV.mp4,"(756, 467)","(1040, 458)",right
V4thNerve_StartV.mp4,"(755, 468)","(1039, 459)",right
V4thNerve_StartV.mp4,"(754, 468)","(1038, 460)",right
