video_name,left_pupil,right_pupil,gaze_direction
1p Nystagmus HögerCAM.mp4,"(764, 481)","(973, 483)",center
1p Nystagmus HögerCAM.mp4,"(761, 485)","(969, 483)",right
1p Nystagmus HögerCAM.mp4,"(756, 485)","(968, 483)",right
1p Nystagmus HögerCAM.mp4,"(761, 484)","(969, 483)",right
1p Nystagmus HögerCAM.mp4,"(767, 484)","(972, 482)",center
1p Nystagmus HögerCAM.mp4,"(768, 483)","(976, 481)",center
1p Nystagmus HögerCAM.mp4,"(767, 483)","(973, 483)",center
1p Nystagmus HögerCAM.mp4,"(764, 485)","(971, 484)",center
1p Nystagmus HögerCAM.mp4,"(761, 484)","(969, 483)",right
1p Nystagmus HögerCAM.mp4,"(755, 485)","(966, 483)",right
1p Nystagmus HögerCAM.mp4,"(754, 486)","(965, 483)",right
1p Nystagmus HögerCAM.mp4,"(761, 484)","(969, 483)",right
1p Nystagmus HögerCAM.mp4,"(766, 483)","(972, 483)",center
1p Nystagmus HögerCAM.mp4,"(760, 483)","(968, 483)",center
1p Nystagmus HögerCAM.mp4,"(752, 486)","(964, 483)",right
1p Nystagmus HögerCAM.mp4,"(756, 483)","(964, 483)",right
1p Nystagmus HögerCAM.mp4,"(758, 484)","(966, 483)",right
1p Nystagmus HögerCAM.mp4,"(763, 485)","(968, 483)",center
1p Nystagmus HögerCAM.mp4,"(764, 484)","(969, 482)",center
1p Nystagmus HögerCAM.mp4,"(763, 484)","(968, 483)",center
1p Nystagmus HögerCAM.mp4,"(762, 486)","(968, 483)",center
1p Nystagmus HögerCAM.mp4,"(762, 485)","(967, 482)",center
1p Nystagmus HögerCAM.mp4,"(761, 486)","(966, 483)",center
1p Nystagmus HögerCAM.mp4,"(756, 485)","(964, 483)",center
1p Nystagmus HögerCAM.mp4,"(751, 484)","(960, 483)",center
1p Nystagmus HögerCAM.mp4,"(746, 485)","(957, 483)",right
1p Nystagmus HögerCAM.mp4,"(748, 485)","(958, 483)",right
1p Nystagmus HögerCAM.mp4,"(754, 485)","(961, 483)",center
1p Nystagmus HögerCAM.mp4,"(757, 486)","(962, 483)",center
1p Nystagmus HögerCAM.mp4,"(755, 485)","(961, 483)",center
1p Nystagmus HögerCAM.mp4,"(751, 484)","(958, 483)",center
1p Nystagmus HögerCAM.mp4,"(748, 484)","(955, 483)",center
1p Nystagmus HögerCAM.mp4,"(742, 486)","(953, 483)",right
1p Nystagmus HögerCAM.mp4,"(743, 484)","(951, 484)",right
1p Nystagmus HögerCAM.mp4,"(747, 485)","(953, 482)",center
1p Nystagmus HögerCAM.mp4,"(752, 485)","(958, 481)",center
1p Nystagmus HögerCAM.mp4,"(744, 480)","(952, 483)",center
1p Nystagmus HögerCAM.mp4,"(737, 487)","(948, 483)",right
1p Nystagmus HögerCAM.mp4,"(738, 486)","(948, 483)",right
1p Nystagmus HögerCAM.mp4,"(742, 485)","(948, 484)",center
1p Nystagmus HögerCAM.mp4,"(746, 486)","(950, 483)",center
1p Nystagmus HögerCAM.mp4,"(746, 484)","(950, 483)",center
1p Nystagmus HögerCAM.mp4,"(745, 486)","(949, 483)",center
1p Nystagmus HögerCAM.mp4,"(744, 486)","(947, 483)",center
1p Nystagmus HögerCAM.mp4,"(743, 486)","(945, 483)",center
1p Nystagmus HögerCAM.mp4,"(740, 487)","(943, 483)",center
1p Nystagmus HögerCAM.mp4,"(738, 485)","(942, 483)",center
1p Nystagmus HögerCAM.mp4,"(735, 485)","(940, 484)",center
1p Nystagmus HögerCAM.mp4,"(733, 485)","(938, 484)",right
1p Nystagmus HögerCAM.mp4,"(729, 488)","(937, 484)",right
1p Nystagmus HögerCAM.mp4,"(736, 486)","(938, 483)",center
1p Nystagmus HögerCAM.mp4,"(737, 486)","(939, 484)",center
1p Nystagmus HögerCAM.mp4,"(734, 487)","(935, 484)",center
1p Nystagmus HögerCAM.mp4,"(724, 487)","(930, 484)",right
1p Nystagmus HögerCAM.mp4,"(719, 488)","(928, 483)",right
1p Nystagmus HögerCAM.mp4,"(716, 489)","(923, 485)",right
1p Nystagmus HögerCAM.mp4,"(714, 488)","(921, 485)",right
1p Nystagmus HögerCAM.mp4,"(715, 487)","(921, 484)",right
1p Nystagmus HögerCAM.mp4,"(717, 487)","(921, 485)",right
1p Nystagmus HögerCAM.mp4,"(716, 486)","(919, 485)",right
1p Nystagmus HögerCAM.mp4,"(714, 487)","(917, 484)",right
1p Nystagmus HögerCAM.mp4,"(711, 487)","(915, 485)",right
1p Nystagmus HögerCAM.mp4,"(708, 487)","(913, 484)",right
