video_name,left_pupil,right_pupil,gaze_direction
1p SHB NO C.mp4,"(738, 469)","(1022, 463)",right
1p SHB NO C.mp4,"(739, 470)","(1023, 463)",right
1p SHB NO C.mp4,"(740, 472)","(1023, 463)",right
1p SHB NO C.mp4,"(739, 470)","(1023, 463)",right
1p SHB NO C.mp4,"(740, 470)","(1023, 463)",right
1p SHB NO C.mp4,"(739, 469)","(1023, 464)",right
1p SHB NO C.mp4,"(739, 470)","(1023, 463)",right
1p SHB NO C.mp4,"(740, 470)","(1024, 464)",right
1p SHB NO C.mp4,"(741, 470)","(1024, 464)",right
1p SHB NO C.mp4,"(740, 470)","(1024, 463)",right
1p SHB NO C.mp4,"(740, 468)","(1025, 463)",right
1p SHB NO C.mp4,"(741, 470)","(1025, 463)",right
1p SHB NO C.mp4,"(742, 468)","(1025, 463)",right
1p SHB NO C.mp4,"(743, 471)","(1026, 463)",right
1p SHB NO C.mp4,"(741, 468)","(1026, 463)",right
1p SHB NO C.mp4,"(741, 468)","(1026, 462)",right
1p SHB NO C.mp4,"(744, 470)","(1027, 463)",right
1p SHB NO C.mp4,"(743, 467)","(1027, 463)",right
1p SHB NO C.mp4,"(744, 468)","(1028, 464)",right
1p SHB NO C.mp4,"(745, 468)","(1029, 464)",right
1p SHB NO C.mp4,"(745, 467)","(1029, 464)",right
1p SHB NO C.mp4,"(746, 469)","(1030, 464)",right
1p SHB NO C.mp4,"(746, 467)","(1030, 463)",right
1p SHB NO C.mp4,"(746, 468)","(1031, 464)",right
1p SHB NO C.mp4,"(747, 468)","(1031, 464)",right
1p SHB NO C.mp4,"(748, 467)","(1032, 464)",right
1p SHB NO C.mp4,"(749, 468)","(1032, 464)",right
1p SHB NO C.mp4,"(750, 471)","(1033, 465)",right
1p SHB NO C.mp4,"(750, 467)","(1034, 463)",right
1p SHB NO C.mp4,"(750, 468)","(1034, 464)",right
1p SHB NO C.mp4,"(752, 467)","(1035, 465)",right
1p SHB NO C.mp4,"(752, 468)","(1035, 464)",right
1p SHB NO C.mp4,"(753, 467)","(1036, 463)",right
1p SHB NO C.mp4,"(753, 467)","(1037, 464)",right
1p SHB NO C.mp4,"(754, 466)","(1037, 464)",right
1p SHB NO C.mp4,"(755, 468)","(1038, 464)",right
1p SHB NO C.mp4,"(756, 467)","(1039, 464)",right
1p SHB NO C.mp4,"(757, 468)","(1039, 464)",right
1p SHB NO C.mp4,"(757, 467)","(1040, 464)",right
1p SHB NO C.mp4,"(762, 465)","(1040, 464)",right
1p SHB NO C.mp4,"(759, 467)","(1041, 464)",right
1p SHB NO C.mp4,"(760, 467)","(1042, 464)",right
1p SHB NO C.mp4,"(761, 468)","(1042, 465)",right
1p SHB NO C.mp4,"(765, 466)","(1043, 464)",right
1p SHB NO C.mp4,"(766, 465)","(1043, 463)",right
1p SHB NO C.mp4,"(766, 466)","(1044, 463)",center
1p SHB NO C.mp4,"(767, 466)","(1044, 464)",right
1p SHB NO C.mp4,"(770, 466)","(1047, 462)",center
1p SHB NO C.mp4,"(770, 467)","(1045, 463)",center
1p SHB NO C.mp4,"(771, 466)","(1046, 463)",center
1p SHB NO C.mp4,"(771, 466)","(1046, 463)",center
1p SHB NO C.mp4,"(771, 464)","(1048, 462)",center
1p SHB NO C.mp4,"(772, 467)","(1047, 464)",center
1p SHB NO C.mp4,"(772, 466)","(1047, 464)",center
1p SHB NO C.mp4,"(772, 466)","(1047, 464)",center
1p SHB NO C.mp4,"(773, 467)","(1047, 463)",center
1p SHB NO C.mp4,"(773, 465)","(1047, 463)",center
1p SHB NO C.mp4,"(773, 467)","(1048, 463)",center
1p SHB NO C.mp4,"(773, 464)","(1049, 462)",center
1p SHB NO C.mp4,"(773, 466)","(1048, 463)",center
1p SHB NO C.mp4,"(773, 468)","(1047, 464)",center
1p SHB NO C.mp4,"(773, 466)","(1047, 463)",center
