video_name,left_pupil,right_pupil,gaze_direction
1p Start Vänster Begränsat Teo.mp4,"(737, 470)","(1019, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(737, 472)","(1020, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(736, 470)","(1023, 461)",right
1p Start Vänster Begränsat Teo.mp4,"(737, 469)","(1020, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(737, 470)","(1020, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(737, 472)","(1020, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(737, 468)","(1020, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(737, 470)","(1021, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(737, 468)","(1021, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(738, 469)","(1021, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(739, 471)","(1021, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(737, 467)","(1022, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(739, 469)","(1022, 462)",right
1p Start Vänster Begränsat Teo.mp4,"(740, 472)","(1023, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(738, 468)","(1023, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(740, 469)","(1023, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(740, 469)","(1024, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(741, 468)","(1024, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(741, 468)","(1025, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(741, 467)","(1026, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(742, 467)","(1026, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(743, 469)","(1027, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(743, 468)","(1027, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(744, 468)","(1028, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(745, 469)","(1029, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(746, 467)","(1029, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(745, 469)","(1029, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(746, 468)","(1030, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(747, 469)","(1031, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(747, 467)","(1031, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(748, 469)","(1032, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(749, 468)","(1032, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(750, 468)","(1033, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(750, 468)","(1034, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(751, 467)","(1034, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(752, 468)","(1035, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(753, 468)","(1036, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(753, 467)","(1036, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(754, 469)","(1037, 465)",right
1p Start Vänster Begränsat Teo.mp4,"(755, 468)","(1037, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(756, 468)","(1038, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(756, 468)","(1039, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(761, 465)","(1039, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(762, 466)","(1040, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(765, 467)","(1043, 461)",center
1p Start Vänster Begränsat Teo.mp4,"(764, 465)","(1041, 464)",center
1p Start Vänster Begränsat Teo.mp4,"(764, 467)","(1041, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(766, 466)","(1042, 464)",center
1p Start Vänster Begränsat Teo.mp4,"(767, 466)","(1042, 463)",center
1p Start Vänster Begränsat Teo.mp4,"(768, 466)","(1043, 464)",center
1p Start Vänster Begränsat Teo.mp4,"(769, 468)","(1043, 464)",center
1p Start Vänster Begränsat Teo.mp4,"(769, 465)","(1043, 463)",center
1p Start Vänster Begränsat Teo.mp4,"(769, 465)","(1043, 463)",center
1p Start Vänster Begränsat Teo.mp4,"(769, 467)","(1044, 464)",center
1p Start Vänster Begränsat Teo.mp4,"(769, 466)","(1044, 464)",center
1p Start Vänster Begränsat Teo.mp4,"(769, 464)","(1044, 463)",center
1p Start Vänster Begränsat Teo.mp4,"(769, 464)","(1044, 463)",center
1p Start Vänster Begränsat Teo.mp4,"(770, 465)","(1045, 463)",center
1p Start Vänster Begränsat Teo.mp4,"(770, 464)","(1047, 462)",center
1p Start Vänster Begränsat Teo.mp4,"(770, 464)","(1047, 462)",center
1p Start Vänster Begränsat Teo.mp4,"(770, 464)","(1044, 463)",center
1p Start Vänster Begränsat Teo.mp4,"(769, 468)","(1043, 464)",center
1p Start Vänster Begränsat Teo.mp4,"(767, 466)","(1042, 463)",center
1p Start Vänster Begränsat Teo.mp4,"(758, 469)","(1040, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(755, 467)","(1037, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(752, 467)","(1035, 464)",right
1p Start Vänster Begränsat Teo.mp4,"(749, 468)","(1032, 463)",right
1p Start Vänster Begränsat Teo.mp4,"(746, 468)","(1030, 464)",right
