video_name,left_pupil,right_pupil,gaze_direction
CN4RightCam2.mp4,"(739, 471)","(1022, 463)",right
CN4RightCam2.mp4,"(740, 469)","(1023, 463)",right
CN4RightCam2.mp4,"(740, 472)","(1023, 463)",right
CN4RightCam2.mp4,"(741, 471)","(1024, 463)",right
CN4RightCam2.mp4,"(741, 470)","(1026, 465)",right
CN4RightCam2.mp4,"(743, 468)","(1027, 464)",right
CN4RightCam2.mp4,"(743, 467)","(1027, 463)",right
CN4RightCam2.mp4,"(745, 468)","(1029, 464)",right
CN4RightCam2.mp4,"(747, 468)","(1030, 463)",right
CN4RightCam2.mp4,"(748, 466)","(1032, 463)",right
CN4RightCam2.mp4,"(750, 465)","(1034, 463)",right
CN4RightCam2.mp4,"(752, 465)","(1036, 463)",right
CN4RightCam2.mp4,"(755, 466)","(1038, 463)",right
CN4RightCam2.mp4,"(758, 467)","(1041, 464)",right
CN4RightCam2.mp4,"(760, 466)","(1044, 464)",right
CN4RightCam2.mp4,"(762, 466)","(1047, 464)",right
CN4RightCam2.mp4,"(767, 467)","(1049, 464)",right
CN4RightCam2.mp4,"(769, 465)","(1052, 464)",right
CN4RightCam2.mp4,"(772, 463)","(1055, 464)",right
CN4RightCam2.mp4,"(776, 464)","(1059, 465)",right
CN4RightCam2.mp4,"(780, 462)","(1062, 464)",right
CN4RightCam2.mp4,"(784, 462)","(1066, 465)",right
CN4RightCam2.mp4,"(788, 462)","(1069, 465)",right
CN4RightCam2.mp4,"(791, 460)","(1072, 464)",right
CN4RightCam2.mp4,"(796, 461)","(1077, 464)",right
CN4RightCam2.mp4,"(803, 456)","(1080, 464)",right
CN4RightCam2.mp4,"(811, 458)","(1084, 464)",right
CN4RightCam2.mp4,"(812, 455)","(1088, 464)",right
CN4RightCam2.mp4,"(820, 458)","(1093, 463)",right
CN4RightCam2.mp4,"(821, 455)","(1097, 463)",center
CN4RightCam2.mp4,"(826, 455)","(1102, 464)",center
CN4RightCam2.mp4,"(831, 454)","(1108, 462)",center
CN4RightCam2.mp4,"(839, 456)","(1111, 463)",center
CN4RightCam2.mp4,"(844, 456)","(1115, 463)",center
CN4RightCam2.mp4,"(848, 456)","(1122, 462)",center
CN4RightCam2.mp4,"(852, 457)","(1125, 465)",center
CN4RightCam2.mp4,"(857, 456)","(1130, 464)",center
CN4RightCam2.mp4,"(862, 456)","(1135, 463)",center
CN4RightCam2.mp4,"(869, 459)","(1140, 463)",center
CN4RightCam2.mp4,"(873, 459)","(1147, 463)",center
CN4RightCam2.mp4,"(877, 460)","(1151, 462)",center
CN4RightCam2.mp4,"(880, 457)","(1156, 461)",center
CN4RightCam2.mp4,"(885, 458)","(1161, 462)",center
CN4RightCam2.mp4,"(890, 457)","(1166, 462)",center
CN4RightCam2.mp4,"(894, 457)","(1171, 462)",center
CN4RightCam2.mp4,"(902, 459)","(1177, 461)",center
CN4RightCam2.mp4,"(905, 458)","(1183, 462)",center
CN4RightCam2.mp4,"(909, 458)","(1188, 462)",left
CN4RightCam2.mp4,"(916, 459)","(1193, 463)",center
CN4RightCam2.mp4,"(920, 458)","(1198, 462)",left
CN4RightCam2.mp4,"(925, 459)","(1203, 463)",left
CN4RightCam2.mp4,"(930, 458)","(1207, 463)",left
CN4RightCam2.mp4,"(935, 460)","(1211, 462)",left
CN4RightCam2.mp4,"(941, 460)","(1217, 463)",left
CN4RightCam2.mp4,"(946, 460)","(1221, 463)",left
CN4RightCam2.mp4,"(950, 460)","(1225, 462)",left
CN4RightCam2.mp4,"(953, 460)","(1230, 462)",left
CN4RightCam2.mp4,"(958, 460)","(1234, 464)",left
CN4RightCam2.mp4,"(961, 459)","(1238, 462)",left
CN4RightCam2.mp4,"(966, 459)","(1243, 463)",left
