video_name,left_pupil,right_pupil,gaze_direction
H3rdNerve_StartH.mp4,"(737, 465)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(737, 464)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(737, 463)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(737, 464)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(738, 464)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(737, 466)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(738, 467)","(1032, 465)",right
H3rdNerve_StartH.mp4,"(738, 464)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(738, 464)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(738, 464)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(738, 465)","(1032, 464)",right
H3rdNerve_StartH.mp4,"(738, 463)","(1033, 464)",right
H3rdNerve_StartH.mp4,"(738, 463)","(1033, 464)",right
H3rdNerve_StartH.mp4,"(738, 463)","(1033, 463)",right
H3rdNerve_StartH.mp4,"(738, 464)","(1033, 464)",right
H3rdNerve_StartH.mp4,"(738, 464)","(1033, 464)",right
H3rdNerve_StartH.mp4,"(739, 463)","(1033, 464)",right
H3rdNerve_StartH.mp4,"(740, 465)","(1033, 464)",right
H3rdNerve_StartH.mp4,"(739, 466)","(1034, 464)",right
H3rdNerve_StartH.mp4,"(740, 466)","(1034, 464)",right
H3rdNerve_StartH.mp4,"(739, 463)","(1034, 464)",right
H3rdNerve_StartH.mp4,"(738, 463)","(1035, 465)",right
H3rdNerve_StartH.mp4,"(739, 464)","(1035, 465)",right
H3rdNerve_StartH.mp4,"(738, 463)","(1035, 464)",right
H3rdNerve_StartH.mp4,"(740, 464)","(1035, 464)",right
H3rdNerve_StartH.mp4,"(739, 465)","(1036, 465)",right
H3rdNerve_StartH.mp4,"(740, 465)","(1036, 465)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1036, 463)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1037, 464)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1037, 465)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1037, 463)",right
H3rdNerve_StartH.mp4,"(739, 462)","(1038, 464)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1038, 464)",right
H3rdNerve_StartH.mp4,"(739, 463)","(1039, 464)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1039, 464)",right
H3rdNerve_StartH.mp4,"(741, 464)","(1039, 464)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1040, 464)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1040, 463)",right
H3rdNerve_StartH.mp4,"(742, 462)","(1041, 463)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1041, 464)",right
H3rdNerve_StartH.mp4,"(742, 463)","(1042, 464)",right
H3rdNerve_StartH.mp4,"(740, 463)","(1043, 463)",right
H3rdNerve_StartH.mp4,"(741, 462)","(1043, 463)",right
H3rdNerve_StartH.mp4,"(743, 462)","(1044, 463)",right
H3rdNerve_StartH.mp4,"(741, 462)","(1044, 463)",right
H3rdNerve_StartH.mp4,"(741, 463)","(1045, 463)",right
H3rdNerve_StartH.mp4,"(741, 462)","(1048, 462)",right
H3rdNerve_StartH.mp4,"(741, 462)","(1046, 464)",right
H3rdNerve_StartH.mp4,"(743, 462)","(1047, 463)",right
H3rdNerve_StartH.mp4,"(743, 462)","(1048, 463)",right
H3rdNerve_StartH.mp4,"(743, 463)","(1048, 463)",right
H3rdNerve_StartH.mp4,"(742, 462)","(1049, 463)",right
H3rdNerve_StartH.mp4,"(743, 463)","(1050, 464)",right
H3rdNerve_StartH.mp4,"(743, 462)","(1051, 464)",right
H3rdNerve_StartH.mp4,"(744, 463)","(1051, 463)",right
H3rdNerve_StartH.mp4,"(744, 463)","(1052, 463)",right
H3rdNerve_StartH.mp4,"(744, 462)","(1053, 464)",right
H3rdNerve_StartH.mp4,"(744, 463)","(1054, 463)",right
H3rdNerve_StartH.mp4,"(744, 467)","(1057, 464)",right
H3rdNerve_StartH.mp4,"(744, 464)","(1058, 462)",right
H3rdNerve_StartH.mp4,"(744, 463)","(1059, 461)",right
H3rdNerve_StartH.mp4,"(744, 464)","(1060, 462)",right
H3rdNerve_StartH.mp4,"(744, 464)","(1061, 462)",right
H3rdNerve_StartH.mp4,"(744, 462)","(1062, 461)",right
H3rdNerve_StartH.mp4,"(744, 464)","(1063, 462)",center
H3rdNerve_StartH.mp4,"(744, 464)","(1063, 462)",right
H3rdNerve_StartH.mp4,"(746, 467)","(1064, 462)",right
H3rdNerve_StartH.mp4,"(745, 466)","(1065, 461)",right
H3rdNerve_StartH.mp4,"(745, 466)","(1066, 462)",right
H3rdNerve_StartH.mp4,"(744, 463)","(1067, 461)",center
H3rdNerve_StartH.mp4,"(744, 464)","(1069, 462)",center
H3rdNerve_StartH.mp4,"(745, 466)","(1069, 461)",center
H3rdNerve_StartH.mp4,"(745, 465)","(1070, 461)",center
H3rdNerve_StartH.mp4,"(745, 467)","(1071, 462)",center
H3rdNerve_StartH.mp4,"(745, 465)","(1072, 462)",center
H3rdNerve_StartH.mp4,"(745, 465)","(1073, 461)",center
H3rdNerve_StartH.mp4,"(745, 466)","(1073, 461)",center
H3rdNerve_StartH.mp4,"(744, 464)","(1074, 462)",center
H3rdNerve_StartH.mp4,"(744, 465)","(1075, 462)",center
H3rdNerve_StartH.mp4,"(744, 465)","(1076, 463)",center
H3rdNerve_StartH.mp4,"(745, 465)","(1077, 462)",center
