video_name,left_pupil,right_pupil,gaze_direction
2_startLeftCam1.mp4,"(783, 482)","(1000, 480)",left
2_startLeftCam1.mp4,"(782, 482)","(999, 481)",left
2_startLeftCam1.mp4,"(779, 482)","(996, 481)",left
2_startLeftCam1.mp4,"(775, 482)","(992, 481)",left
2_startLeftCam1.mp4,"(772, 483)","(988, 481)",left
2_startLeftCam1.mp4,"(767, 483)","(981, 480)",left
2_startLeftCam1.mp4,"(760, 482)","(975, 480)",left
2_startLeftCam1.mp4,"(752, 482)","(968, 480)",left
2_startLeftCam1.mp4,"(746, 484)","(961, 481)",left
2_startLeftCam1.mp4,"(736, 482)","(952, 481)",left
2_startLeftCam1.mp4,"(729, 483)","(943, 481)",left
2_startLeftCam1.mp4,"(719, 483)","(934, 481)",left
2_startLeftCam1.mp4,"(709, 482)","(925, 482)",left
2_startLeftCam1.mp4,"(700, 483)","(915, 483)",left
2_startLeftCam1.mp4,"(689, 483)","(906, 484)",left
2_startLeftCam1.mp4,"(678, 483)","(894, 483)",left
2_startLeftCam1.mp4,"(668, 483)","(883, 483)",left
2_startLeftCam1.mp4,"(658, 483)","(871, 482)",left
2_startLeftCam1.mp4,"(649, 484)","(859, 481)",left
2_startLeftCam1.mp4,"(637, 484)","(850, 483)",left
2_startLeftCam1.mp4,"(627, 483)","(837, 481)",left
2_startLeftCam1.mp4,"(618, 485)","(829, 484)",left
2_startLeftCam1.mp4,"(608, 484)","(818, 484)",left
2_startLeftCam1.mp4,"(599, 485)","(808, 484)",left
2_startLeftCam1.mp4,"(591, 485)","(798, 485)",left
2_startLeftCam1.mp4,"(581, 484)","(787, 482)",left
2_startLeftCam1.mp4,"(573, 484)","(778, 483)",left
2_startLeftCam1.mp4,"(567, 486)","(769, 483)",left
2_startLeftCam1.mp4,"(559, 485)","(763, 486)",left
2_startLeftCam1.mp4,"(552, 486)","(756, 486)",left
2_startLeftCam1.mp4,"(546, 487)","(749, 487)",left
2_startLeftCam1.mp4,"(540, 486)","(742, 485)",left
2_startLeftCam1.mp4,"(535, 486)","(736, 485)",left
2_startLeftCam1.mp4,"(531, 486)","(729, 483)",left
2_startLeftCam1.mp4,"(527, 486)","(727, 486)",left
2_startLeftCam1.mp4,"(524, 487)","(722, 484)",left
2_startLeftCam1.mp4,"(522, 486)","(718, 482)",left
2_startLeftCam1.mp4,"(520, 487)","(717, 484)",left
2_startLeftCam1.mp4,"(519, 487)","(717, 486)",left
2_startLeftCam1.mp4,"(519, 486)","(717, 486)",left
2_startLeftCam1.mp4,"(518, 486)","(714, 484)",left
2_startLeftCam1.mp4,"(514, 487)","(712, 486)",left
2_startLeftCam1.mp4,"(509, 485)","(707, 487)",left
2_startLeftCam1.mp4,"(502, 487)","(700, 486)",left
2_startLeftCam1.mp4,"(491, 486)","(690, 485)",left
2_startLeftCam1.mp4,"(480, 486)","(680, 485)",left
2_startLeftCam1.mp4,"(469, 486)","(669, 486)",left
2_startLeftCam1.mp4,"(455, 486)","(654, 483)",left
2_startLeftCam1.mp4,"(442, 486)","(642, 485)",left
2_startLeftCam1.mp4,"(424, 485)","(628, 486)",left
2_startLeftCam1.mp4,"(410, 486)","(612, 485)",left
2_startLeftCam1.mp4,"(393, 485)","(595, 483)",left
2_startLeftCam1.mp4,"(375, 486)","(581, 485)",left
2_startLeftCam1.mp4,"(359, 485)","(566, 486)",left
2_startLeftCam1.mp4,"(343, 485)","(547, 482)",left
2_startLeftCam1.mp4,"(328, 485)","(534, 485)",left
2_startLeftCam1.mp4,"(311, 485)","(519, 484)",left
2_startLeftCam1.mp4,"(296, 484)","(503, 482)",left
2_startLeftCam1.mp4,"(282, 484)","(489, 482)",left
2_startLeftCam1.mp4,"(269, 484)","(477, 481)",left
2_startLeftCam1.mp4,"(256, 483)","(468, 483)",left
2_startLeftCam1.mp4,"(246, 484)","(457, 482)",left
2_startLeftCam1.mp4,"(237, 484)","(452, 485)",left
2_startLeftCam1.mp4,"(231, 484)","(442, 481)",left
2_startLeftCam1.mp4,"(225, 483)","(439, 482)",left
2_startLeftCam1.mp4,"(223, 483)","(438, 483)",left
2_startLeftCam1.mp4,"(223, 483)","(437, 482)",left
2_startLeftCam1.mp4,"(225, 483)","(440, 481)",left
2_startLeftCam1.mp4,"(230, 483)","(446, 482)",left
2_startLeftCam1.mp4,"(239, 484)","(457, 484)",left
2_startLeftCam1.mp4,"(249, 483)","(466, 483)",left
2_startLeftCam1.mp4,"(259, 483)","(474, 481)",left
2_startLeftCam1.mp4,"(269, 483)","(484, 480)",left
2_startLeftCam1.mp4,"(278, 482)","(494, 481)",left
2_startLeftCam1.mp4,"(289, 484)","(505, 482)",left
2_startLeftCam1.mp4,"(298, 483)","(514, 482)",left
2_startLeftCam1.mp4,"(309, 483)","(526, 483)",left
2_startLeftCam1.mp4,"(318, 483)","(535, 482)",left
2_startLeftCam1.mp4,"(328, 483)","(545, 483)",left
2_startLeftCam1.mp4,"(339, 484)","(555, 485)",left
2_startLeftCam1.mp4,"(349, 483)","(562, 481)",left
2_startLeftCam1.mp4,"(358, 484)","(572, 481)",left
2_startLeftCam1.mp4,"(366, 483)","(582, 481)",left
2_startLeftCam1.mp4,"(377, 483)","(593, 483)",left
2_startLeftCam1.mp4,"(385, 483)","(600, 481)",left
2_startLeftCam1.mp4,"(395, 482)","(610, 481)",left
2_startLeftCam1.mp4,"(404, 483)","(619, 482)",left
2_startLeftCam1.mp4,"(413, 483)","(628, 482)",left
2_startLeftCam1.mp4,"(423, 482)","(639, 483)",left
2_startLeftCam1.mp4,"(431, 483)","(648, 483)",left
2_startLeftCam1.mp4,"(441, 483)","(654, 480)",left
