video_name,left_pupil,right_pupil,gaze_direction
2_startLeftCamNew5.mp4,"(786, 482)","(1004, 483)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(786, 481)","(1001, 479)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1002, 481)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(787, 483)","(1001, 479)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftCamNew5.mp4,"(787, 483)","(1002, 480)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1004, 483)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1004, 483)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1004, 483)",left
2_startLeftCamNew5.mp4,"(786, 482)","(1002, 480)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1002, 480)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1002, 480)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1002, 480)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1000, 479)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftCamNew5.mp4,"(786, 483)","(1004, 483)",left
2_startLeftCamNew5.mp4,"(786, 483)","(1004, 483)",left
2_startLeftCamNew5.mp4,"(786, 482)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1001, 479)",left
2_startLeftCamNew5.mp4,"(788, 482)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(787, 483)","(1001, 479)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(789, 483)","(1002, 480)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftCamNew5.mp4,"(787, 482)","(1001, 479)",left
2_startLeftCamNew5.mp4,"(788, 482)","(1002, 479)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1003, 481)",left
2_startLeftCamNew5.mp4,"(788, 483)","(1005, 483)",left
2_startLeftCamNew5.mp4,"(788, 482)","(1005, 482)",left
2_startLeftCamNew5.mp4,"(789, 483)","(1002, 480)",left
2_startLeftCamNew5.mp4,"(789, 483)","(1004, 482)",left
2_startLeftCamNew5.mp4,"(789, 483)","(1003, 480)",left
2_startLeftCamNew5.mp4,"(789, 483)","(1004, 481)",left
2_startLeftCamNew5.mp4,"(790, 483)","(1005, 482)",left
2_startLeftCamNew5.mp4,"(790, 483)","(1004, 481)",left
2_startLeftCamNew5.mp4,"(790, 483)","(1004, 480)",left
2_startLeftCamNew5.mp4,"(790, 483)","(1004, 481)",left
2_startLeftCamNew5.mp4,"(789, 481)","(1005, 480)",left
2_startLeftCamNew5.mp4,"(790, 482)","(1005, 481)",left
2_startLeftCamNew5.mp4,"(790, 482)","(1004, 479)",left
2_startLeftCamNew5.mp4,"(792, 483)","(1005, 479)",left
2_startLeftCamNew5.mp4,"(791, 481)","(1008, 482)",left
2_startLeftCamNew5.mp4,"(791, 482)","(1006, 481)",left
2_startLeftCamNew5.mp4,"(792, 483)","(1005, 480)",left
2_startLeftCamNew5.mp4,"(791, 482)","(1008, 482)",left
2_startLeftCamNew5.mp4,"(792, 482)","(1006, 480)",left
2_startLeftCamNew5.mp4,"(792, 483)","(1007, 481)",left
2_startLeftCamNew5.mp4,"(793, 483)","(1009, 483)",left
2_startLeftCamNew5.mp4,"(793, 483)","(1008, 481)",left
2_startLeftCamNew5.mp4,"(793, 482)","(1008, 481)",left
2_startLeftCamNew5.mp4,"(794, 483)","(1008, 480)",left
2_startLeftCamNew5.mp4,"(793, 482)","(1008, 480)",left
2_startLeftCamNew5.mp4,"(794, 483)","(1011, 482)",left
2_startLeftCamNew5.mp4,"(795, 483)","(1009, 480)",left
2_startLeftCamNew5.mp4,"(795, 483)","(1009, 480)",left
2_startLeftCamNew5.mp4,"(795, 482)","(1009, 479)",left
2_startLeftCamNew5.mp4,"(794, 483)","(1012, 482)",left
2_startLeftCamNew5.mp4,"(795, 482)","(1010, 481)",left
2_startLeftCamNew5.mp4,"(797, 482)","(1011, 481)",left
2_startLeftCamNew5.mp4,"(797, 483)","(1013, 483)",left
2_startLeftCamNew5.mp4,"(798, 483)","(1012, 482)",left
2_startLeftCamNew5.mp4,"(797, 482)","(1011, 479)",left
2_startLeftCamNew5.mp4,"(796, 482)","(1011, 480)",left
2_startLeftCamNew5.mp4,"(798, 484)","(1014, 483)",left
2_startLeftCamNew5.mp4,"(798, 482)","(1014, 483)",left
2_startLeftCamNew5.mp4,"(798, 482)","(1012, 480)",left
2_startLeftCamNew5.mp4,"(799, 483)","(1013, 480)",left
2_startLeftCamNew5.mp4,"(799, 483)","(1016, 483)",left
2_startLeftCamNew5.mp4,"(800, 483)","(1014, 480)",left
2_startLeftCamNew5.mp4,"(799, 483)","(1014, 479)",left
2_startLeftCamNew5.mp4,"(799, 482)","(1014, 479)",left
2_startLeftCamNew5.mp4,"(801, 483)","(1017, 484)",left
2_startLeftCamNew5.mp4,"(801, 483)","(1016, 481)",left
2_startLeftCamNew5.mp4,"(801, 482)","(1015, 479)",left
2_startLeftCamNew5.mp4,"(801, 483)","(1015, 480)",left
2_startLeftCamNew5.mp4,"(801, 483)","(1016, 481)",left
2_startLeftCamNew5.mp4,"(801, 482)","(1016, 480)",left
2_startLeftCamNew5.mp4,"(802, 482)","(1016, 480)",left
2_startLeftCamNew5.mp4,"(803, 482)","(1016, 479)",left
2_startLeftCamNew5.mp4,"(803, 483)","(1017, 480)",left
2_startLeftCamNew5.mp4,"(803, 482)","(1017, 480)",left
2_startLeftCamNew5.mp4,"(803, 482)","(1017, 479)",left
2_startLeftCamNew5.mp4,"(803, 482)","(1018, 480)",left
2_startLeftCamNew5.mp4,"(804, 483)","(1017, 479)",left
2_startLeftCamNew5.mp4,"(804, 483)","(1018, 480)",left
2_startLeftCamNew5.mp4,"(804, 482)","(1019, 481)",left
2_startLeftCamNew5.mp4,"(805, 483)","(1018, 480)",left
2_startLeftCamNew5.mp4,"(805, 483)","(1018, 480)",left
2_startLeftCamNew5.mp4,"(805, 483)","(1019, 481)",left
2_startLeftCamNew5.mp4,"(806, 483)","(1020, 480)",left
2_startLeftCamNew5.mp4,"(805, 482)","(1020, 481)",left
2_startLeftCamNew5.mp4,"(806, 483)","(1020, 481)",left
2_startLeftCamNew5.mp4,"(805, 482)","(1020, 481)",left
2_startLeftCamNew5.mp4,"(806, 484)","(1023, 483)",left
2_startLeftCamNew5.mp4,"(805, 482)","(1020, 479)",left
2_startLeftCamNew5.mp4,"(806, 482)","(1021, 481)",left
2_startLeftCamNew5.mp4,"(807, 483)","(1022, 481)",left
2_startLeftCamNew5.mp4,"(807, 483)","(1021, 480)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1021, 480)",left
2_startLeftCamNew5.mp4,"(806, 481)","(1023, 482)",left
2_startLeftCamNew5.mp4,"(807, 481)","(1021, 480)",left
2_startLeftCamNew5.mp4,"(807, 482)","(1022, 481)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1023, 481)",left
2_startLeftCamNew5.mp4,"(808, 483)","(1022, 480)",left
2_startLeftCamNew5.mp4,"(808, 483)","(1022, 480)",left
2_startLeftCamNew5.mp4,"(807, 482)","(1022, 479)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1023, 481)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1022, 480)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1022, 480)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1022, 480)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1023, 480)",left
2_startLeftCamNew5.mp4,"(809, 483)","(1024, 481)",left
2_startLeftCamNew5.mp4,"(809, 483)","(1024, 481)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1022, 480)",left
2_startLeftCamNew5.mp4,"(808, 483)","(1023, 481)",left
2_startLeftCamNew5.mp4,"(808, 483)","(1023, 481)",left
2_startLeftCamNew5.mp4,"(808, 483)","(1023, 481)",left
2_startLeftCamNew5.mp4,"(808, 482)","(1022, 480)",left
