video_name,left_pupil,right_pupil,gaze_direction
2_startLeftNoCam.mp4,"(784, 482)","(1001, 481)",left
2_startLeftNoCam.mp4,"(784, 483)","(1003, 482)",left
2_startLeftNoCam.mp4,"(785, 483)","(1001, 481)",left
2_startLeftNoCam.mp4,"(784, 483)","(1003, 482)",left
2_startLeftNoCam.mp4,"(785, 483)","(1001, 481)",left
2_startLeftNoCam.mp4,"(784, 483)","(1000, 479)",left
2_startLeftNoCam.mp4,"(784, 483)","(1000, 479)",left
2_startLeftNoCam.mp4,"(784, 483)","(1000, 479)",left
2_startLeftNoCam.mp4,"(784, 483)","(1000, 479)",left
2_startLeftNoCam.mp4,"(785, 484)","(1000, 480)",left
2_startLeftNoCam.mp4,"(785, 484)","(1000, 480)",left
2_startLeftNoCam.mp4,"(785, 484)","(1000, 480)",left
2_startLeftNoCam.mp4,"(784, 482)","(1000, 481)",left
2_startLeftNoCam.mp4,"(784, 483)","(1000, 480)",left
2_startLeftNoCam.mp4,"(784, 483)","(1000, 480)",left
2_startLeftNoCam.mp4,"(784, 483)","(1000, 480)",left
2_startLeftNoCam.mp4,"(785, 483)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 483)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 483)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 483)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 484)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 484)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 484)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 484)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 484)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 484)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 484)","(1001, 481)",left
2_startLeftNoCam.mp4,"(785, 484)","(1001, 481)",left
2_startLeftNoCam.mp4,"(784, 482)","(1001, 481)",left
2_startLeftNoCam.mp4,"(784, 482)","(1001, 481)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
2_startLeftNoCam.mp4,"(784, 482)","(1003, 482)",left
