video_name,left_pupil,right_pupil,gaze_direction
2_startLeftNoCamNew5.mp4,"(786, 482)","(1004, 483)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftNoCamNew5.mp4,"(786, 481)","(1001, 479)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1001, 480)",left
2_startLeftNoCamNew5.mp4,"(787, 483)","(1001, 479)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(787, 483)","(1002, 480)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1004, 483)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1004, 483)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1004, 483)",left
2_startLeftNoCamNew5.mp4,"(786, 482)","(1002, 480)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1002, 480)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1002, 480)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1002, 480)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1000, 479)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftNoCamNew5.mp4,"(787, 482)","(1000, 479)",left
2_startLeftNoCamNew5.mp4,"(786, 483)","(1004, 483)",left
2_startLeftNoCamNew5.mp4,"(786, 483)","(1004, 483)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
2_startLeftNoCamNew5.mp4,"(788, 483)","(1002, 481)",left
