video_name,left_pupil,right_pupil,gaze_direction
2p_startV_S.mp4,"(797, 463)","(1083, 461)",left
2p_startV_S.mp4,"(797, 462)","(1085, 464)",left
2p_startV_S.mp4,"(796, 463)","(1082, 461)",left
2p_startV_S.mp4,"(797, 463)","(1082, 461)",left
2p_startV_S.mp4,"(796, 463)","(1081, 461)",left
2p_startV_S.mp4,"(796, 461)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1080, 461)",left
2p_startV_S.mp4,"(795, 463)","(1080, 461)",left
2p_startV_S.mp4,"(795, 463)","(1080, 461)",left
2p_startV_S.mp4,"(796, 462)","(1080, 461)",left
2p_startV_S.mp4,"(796, 463)","(1080, 461)",left
2p_startV_S.mp4,"(796, 463)","(1080, 461)",left
2p_startV_S.mp4,"(796, 463)","(1080, 461)",left
2p_startV_S.mp4,"(796, 462)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 462)",left
2p_startV_S.mp4,"(797, 462)","(1082, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 460)",left
2p_startV_S.mp4,"(796, 463)","(1081, 461)",left
2p_startV_S.mp4,"(796, 463)","(1082, 462)",left
2p_startV_S.mp4,"(796, 463)","(1082, 461)",left
2p_startV_S.mp4,"(796, 462)","(1081, 460)",left
2p_startV_S.mp4,"(796, 463)","(1082, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 461)",left
2p_startV_S.mp4,"(796, 463)","(1082, 462)",left
2p_startV_S.mp4,"(796, 462)","(1081, 462)",left
2p_startV_S.mp4,"(796, 462)","(1081, 462)",left
2p_startV_S.mp4,"(796, 462)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 463)",left
2p_startV_S.mp4,"(796, 462)","(1083, 464)",left
2p_startV_S.mp4,"(796, 463)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1083, 464)",left
2p_startV_S.mp4,"(796, 463)","(1083, 464)",left
2p_startV_S.mp4,"(796, 463)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1081, 462)",left
2p_startV_S.mp4,"(796, 463)","(1080, 462)",left
2p_startV_S.mp4,"(796, 463)","(1080, 462)",left
2p_startV_S.mp4,"(796, 463)","(1080, 462)",left
2p_startV_S.mp4,"(796, 463)","(1080, 462)",left
2p_startV_S.mp4,"(796, 462)","(1081, 462)",left
2p_startV_S.mp4,"(796, 462)","(1081, 462)",left
2p_startV_S.mp4,"(795, 463)","(1080, 462)",left
2p_startV_S.mp4,"(795, 463)","(1080, 461)",left
2p_startV_S.mp4,"(796, 463)","(1080, 462)",left
