video_name,left_pupil,right_pupil,gaze_direction
2_startRightCam1.mp4,"(738, 487)","(954, 482)",right
2_startRightCam1.mp4,"(738, 487)","(955, 481)",right
2_startRightCam1.mp4,"(742, 488)","(956, 482)",right
2_startRightCam1.mp4,"(744, 486)","(960, 482)",right
2_startRightCam1.mp4,"(750, 487)","(965, 483)",right
2_startRightCam1.mp4,"(756, 488)","(971, 482)",right
2_startRightCam1.mp4,"(761, 486)","(977, 482)",right
2_startRightCam1.mp4,"(769, 489)","(986, 483)",right
2_startRightCam1.mp4,"(779, 488)","(994, 483)",right
2_startRightCam1.mp4,"(789, 488)","(1004, 483)",right
2_startRightCam1.mp4,"(799, 487)","(1016, 481)",right
2_startRightCam1.mp4,"(810, 486)","(1026, 482)",right
2_startRightCam1.mp4,"(823, 488)","(1038, 483)",right
2_startRightCam1.mp4,"(836, 489)","(1051, 483)",right
2_startRightCam1.mp4,"(850, 486)","(1064, 484)",right
2_startRightCam1.mp4,"(864, 486)","(1077, 483)",right
2_startRightCam1.mp4,"(880, 489)","(1091, 483)",right
2_startRightCam1.mp4,"(894, 488)","(1105, 484)",right
2_startRightCam1.mp4,"(909, 488)","(1119, 484)",right
2_startRightCam1.mp4,"(924, 488)","(1132, 484)",right
2_startRightCam1.mp4,"(939, 488)","(1145, 484)",right
2_startRightCam1.mp4,"(953, 488)","(1158, 485)",right
2_startRightCam1.mp4,"(968, 488)","(1170, 485)",right
2_startRightCam1.mp4,"(981, 489)","(1182, 486)",right
2_startRightCam1.mp4,"(995, 490)","(1193, 486)",right
2_startRightCam1.mp4,"(1008, 490)","(1203, 487)",right
2_startRightCam1.mp4,"(1020, 491)","(1213, 488)",right
2_startRightCam1.mp4,"(1031, 490)","(1221, 487)",right
2_startRightCam1.mp4,"(1042, 491)","(1229, 488)",right
2_startRightCam1.mp4,"(1052, 492)","(1235, 488)",right
2_startRightCam1.mp4,"(1059, 491)","(1243, 487)",right
2_startRightCam1.mp4,"(1068, 493)","(1246, 489)",right
2_startRightCam1.mp4,"(1074, 493)","(1250, 490)",right
2_startRightCam1.mp4,"(1079, 491)","(1253, 489)",right
2_startRightCam1.mp4,"(1085, 493)","(1256, 491)",right
2_startRightCam1.mp4,"(1091, 493)","(1258, 491)",right
2_startRightCam1.mp4,"(1093, 494)","(1259, 492)",right
2_startRightCam1.mp4,"(1096, 495)","(1258, 492)",right
2_startRightCam1.mp4,"(1096, 493)","(1258, 492)",right
2_startRightCam1.mp4,"(1099, 494)","(1257, 492)",right
2_startRightCam1.mp4,"(1100, 495)","(1256, 493)",right
