video_name,left_pupil,right_pupil,gaze_direction
2_startRightCamNew3.mp4,"(740, 486)","(955, 482)",right
2_startRightCamNew3.mp4,"(739, 487)","(954, 482)",right
2_startRightCamNew3.mp4,"(740, 486)","(955, 482)",right
2_startRightCamNew3.mp4,"(739, 487)","(955, 482)",right
2_startRightCamNew3.mp4,"(738, 486)","(955, 482)",right
2_startRightCamNew3.mp4,"(738, 487)","(955, 482)",right
2_startRightCamNew3.mp4,"(740, 488)","(955, 482)",right
2_startRightCamNew3.mp4,"(739, 487)","(955, 482)",right
2_startRightCamNew3.mp4,"(740, 487)","(955, 482)",right
2_startRightCamNew3.mp4,"(739, 487)","(955, 482)",right
2_startRightCamNew3.mp4,"(740, 486)","(956, 482)",right
2_startRightCamNew3.mp4,"(739, 486)","(956, 482)",right
2_startRightCamNew3.mp4,"(739, 486)","(956, 482)",right
2_startRightCamNew3.mp4,"(742, 488)","(956, 482)",right
2_startRightCamNew3.mp4,"(742, 487)","(957, 482)",right
2_startRightCamNew3.mp4,"(741, 487)","(957, 482)",right
2_startRightCamNew3.mp4,"(742, 487)","(957, 482)",right
2_startRightCamNew3.mp4,"(742, 486)","(957, 482)",right
2_startRightCamNew3.mp4,"(741, 487)","(960, 481)",right
2_startRightCamNew3.mp4,"(743, 487)","(958, 482)",right
2_startRightCamNew3.mp4,"(742, 486)","(958, 482)",right
2_startRightCamNew3.mp4,"(744, 487)","(959, 482)",right
2_startRightCamNew3.mp4,"(744, 488)","(959, 482)",right
2_startRightCamNew3.mp4,"(744, 486)","(959, 481)",right
2_startRightCamNew3.mp4,"(745, 486)","(960, 482)",right
2_startRightCamNew3.mp4,"(744, 486)","(960, 483)",right
2_startRightCamNew3.mp4,"(745, 486)","(960, 482)",right
2_startRightCamNew3.mp4,"(746, 487)","(961, 482)",right
2_startRightCamNew3.mp4,"(745, 486)","(961, 482)",right
2_startRightCamNew3.mp4,"(747, 486)","(961, 482)",right
2_startRightCamNew3.mp4,"(746, 487)","(962, 482)",right
2_startRightCamNew3.mp4,"(746, 486)","(963, 482)",right
2_startRightCamNew3.mp4,"(747, 487)","(963, 482)",right
2_startRightCamNew3.mp4,"(748, 486)","(963, 482)",right
2_startRightCamNew3.mp4,"(747, 487)","(964, 482)",right
2_startRightCamNew3.mp4,"(749, 487)","(964, 482)",right
2_startRightCamNew3.mp4,"(748, 487)","(964, 482)",right
2_startRightCamNew3.mp4,"(749, 488)","(965, 482)",right
2_startRightCamNew3.mp4,"(749, 488)","(965, 483)",right
2_startRightCamNew3.mp4,"(751, 487)","(966, 482)",right
2_startRightCamNew3.mp4,"(752, 488)","(967, 484)",right
2_startRightCamNew3.mp4,"(753, 490)","(967, 483)",right
2_startRightCamNew3.mp4,"(752, 487)","(967, 483)",right
2_startRightCamNew3.mp4,"(752, 488)","(967, 482)",right
2_startRightCamNew3.mp4,"(753, 488)","(968, 483)",right
2_startRightCamNew3.mp4,"(753, 487)","(968, 483)",right
2_startRightCamNew3.mp4,"(752, 487)","(969, 483)",right
2_startRightCamNew3.mp4,"(754, 487)","(969, 482)",right
2_startRightCamNew3.mp4,"(754, 487)","(969, 482)",right
2_startRightCamNew3.mp4,"(756, 489)","(970, 483)",right
2_startRightCamNew3.mp4,"(755, 490)","(970, 483)",right
2_startRightCamNew3.mp4,"(755, 487)","(970, 483)",right
2_startRightCamNew3.mp4,"(756, 488)","(971, 483)",right
2_startRightCamNew3.mp4,"(756, 489)","(971, 483)",right
2_startRightCamNew3.mp4,"(757, 490)","(971, 483)",right
2_startRightCamNew3.mp4,"(755, 487)","(971, 482)",right
2_startRightCamNew3.mp4,"(757, 489)","(972, 483)",right
2_startRightCamNew3.mp4,"(757, 487)","(972, 483)",right
2_startRightCamNew3.mp4,"(758, 488)","(973, 483)",right
2_startRightCamNew3.mp4,"(758, 489)","(972, 483)",right
2_startRightCamNew3.mp4,"(758, 487)","(972, 483)",right
2_startRightCamNew3.mp4,"(758, 488)","(972, 483)",right
2_startRightCamNew3.mp4,"(758, 488)","(973, 483)",right
2_startRightCamNew3.mp4,"(757, 487)","(973, 482)",right
2_startRightCamNew3.mp4,"(759, 487)","(973, 483)",right
2_startRightCamNew3.mp4,"(758, 488)","(973, 483)",right
2_startRightCamNew3.mp4,"(758, 488)","(975, 480)",right
2_startRightCamNew3.mp4,"(758, 487)","(973, 482)",right
2_startRightCamNew3.mp4,"(758, 488)","(973, 483)",right
2_startRightCamNew3.mp4,"(758, 487)","(973, 482)",right
2_startRightCamNew3.mp4,"(758, 487)","(973, 483)",right
2_startRightCamNew3.mp4,"(758, 487)","(973, 483)",right
2_startRightCamNew3.mp4,"(758, 487)","(973, 482)",right
2_startRightCamNew3.mp4,"(758, 488)","(973, 482)",right
2_startRightCamNew3.mp4,"(758, 489)","(973, 483)",right
2_startRightCamNew3.mp4,"(758, 486)","(973, 482)",right
2_startRightCamNew3.mp4,"(759, 487)","(973, 482)",right
2_startRightCamNew3.mp4,"(757, 487)","(973, 482)",right
2_startRightCamNew3.mp4,"(758, 487)","(973, 483)",right
2_startRightCamNew3.mp4,"(757, 487)","(973, 482)",right
2_startRightCamNew3.mp4,"(757, 487)","(972, 483)",right
2_startRightCamNew3.mp4,"(757, 487)","(972, 483)",right
2_startRightCamNew3.mp4,"(758, 489)","(972, 483)",right
2_startRightCamNew3.mp4,"(756, 486)","(972, 482)",right
2_startRightCamNew3.mp4,"(757, 487)","(972, 483)",right
2_startRightCamNew3.mp4,"(757, 487)","(972, 483)",right
2_startRightCamNew3.mp4,"(757, 487)","(971, 482)",right
2_startRightCamNew3.mp4,"(755, 488)","(971, 483)",right
2_startRightCamNew3.mp4,"(756, 488)","(971, 482)",right
2_startRightCamNew3.mp4,"(756, 488)","(970, 482)",right
2_startRightCamNew3.mp4,"(756, 487)","(971, 483)",right
2_startRightCamNew3.mp4,"(755, 487)","(970, 482)",right
2_startRightCamNew3.mp4,"(755, 489)","(970, 483)",right
2_startRightCamNew3.mp4,"(756, 489)","(970, 483)",right
2_startRightCamNew3.mp4,"(756, 489)","(970, 483)",right
2_startRightCamNew3.mp4,"(754, 488)","(969, 483)",right
2_startRightCamNew3.mp4,"(753, 488)","(969, 483)",right
2_startRightCamNew3.mp4,"(754, 489)","(969, 483)",right
2_startRightCamNew3.mp4,"(754, 487)","(969, 483)",right
2_startRightCamNew3.mp4,"(754, 489)","(968, 484)",right
2_startRightCamNew3.mp4,"(753, 489)","(968, 483)",right
