video_name,left_pupil,right_pupil,gaze_direction
2_startRightNoCam.mp4,"(738, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(739, 488)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 488)","(954, 482)",right
2_startRightNoCam.mp4,"(739, 488)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(736, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(737, 487)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
2_startRightNoCam.mp4,"(738, 486)","(954, 482)",right
